system:index,AHGFL1,AHGFL2,AL26EP,AL26EP_ERR,AL26NC,AL26NC_ERR,AL26NP,AL26NP_ERR,ALAMS,ALCORR,ALPROD,ALSELF,ALSNOW,ALSTND,ALTOPO,ALTOTS,AREA,AUTHOR,BASIN,BE10EP,BE10EP_ERR,BE10NC,BE10NC_ERR,BE10NP,BE10NP_ERR,BEAMS,BECORR,BEPROD,BESELF,BESNOW,BESTND,BETOPO,BETOTS,CNTRY,CORDS_ELEV,CRN_SUBCMP,DBDOI,DBVERNO,DIV_ADMIN,DIV_OTHER,EAL_ERR,EAL_GCMYR,EAL_MMKYR,EBE_ERR,EBE_GCMYR,EBE_MMKYR,ELEVATION,ELEV_AVE,ELEV_STD,ERRAL_AMS,ERRAL_MUON,ERRAL_PROD,ERRAL_TOT,ERRBE_AMS,ERRBE_MUON,ERRBE_PROD,ERRBE_TOT,IBRACODE,IBRAREGION,IGSNID,ISL_NAME,LAKE,MATERIAL,METASITEID,OAID,OBSID1,OBSID2,PROJECTION,PROJEPSGID,PUBYEAR,REFDBID,REFDOI,REFID,REGION_INT,REGION_REG,RIVDIV,RIVNAME,SITEID,SITE_COMMT,SIZEMAX,SIZEMIN,SLP_AVE,SLP_STD,SMPID,SMP_COMMT,SMP_DAY,SMP_MONTH,SMP_YEAR,STUDYID,X_WGS84,Y_WGS84,mean,realid,.geo
00000000000000000085,NA,NA,4.11,0.26,5889128.0,292006.0,5768000.0,286000.0,ASTER,1.021,1.828,1.0,1.0,SMAL11,1.0,1.828,13949.52,Matmon,Ugab Riv.,4.9,0.67,1026000.0,39000.0,1026000.0,39000.0,ASTER,1.0,1.828,1.0,1.0,07KNSTD,1.0,1.828,NAM,INTP_ND,INT,TBA,2.0,NA,NA,1.22,0.00151,5.69,0.98,0.00121,4.57,-9999.99,1372.22,148.05,9.0E-5,3.0E-5,3.1E-4,3.2E-4,5.0E-5,6.0E-5,2.5E-4,2.6E-4,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000099,S218WTS001,UGAB1,WGS84_UTM_33S,32733,2018,Matmon:2018namibia,10.1016/j.geomorph.2018.04.008,Geomorphology_313,Western Namibian escarpment,NA,not applicable,not applicable,CRNST03472a,NA,850,250,23.3,43.25,CRNSM03865,NA,-9999,-9999,-9999,S218,15.5193,-20.4056,417.20395793442077,232,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,NA,NA,5.49,0.34,5147882.0,255250.0,5042000.0,250000.0,ASTER,1.021,1.68,1.0,1.0,SMAL11,1.0,1.679,24350.69,Matmon,Ugab Riv.,5.87,0.79,799000.0,29000.0,799000.0,29000.0,ASTER,1.0,1.68,1.0,1.0,07KNSTD,1.0,1.679,NAM,INTP_ND,INT,TBA,2.0,NA,NA,1.3,0.00161,6.06,1.19,0.00146,5.5,-9999.99,1230.97,250.65,9.0E-5,3.0E-5,3.3E-4,3.5E-4,6.0E-5,9.0E-5,3.0E-4,3.2E-4,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000099,S218WTS003,UGAB3,WGS84_UTM_33S,32733,2018,Matmon:2018namibia,10.1016/j.geomorph.2018.04.008,Geomorphology_313,Western Namibian escarpment,NA,not applicable,not applicable,CRNST03474a,NA,850,250,34.46,64.32,CRNSM03867,NA,-9999,-9999,-9999,S218,14.6843,-21.0122,343.5677085539262,144,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,NA,NA,4.99,0.32,5001879.0,265460.0,4899000.0,260000.0,ASTER,1.021,1.575,1.0,1.0,SMAL11,0.999,1.574,29360.83,Matmon,Ugab Riv.,5.45,0.74,796000.0,30000.0,796000.0,30000.0,ASTER,1.0,1.575,1.0,1.0,07KNSTD,0.999,1.574,NAM,INTP_ND,INT,TBA,2.0,NA,NA,1.27,0.00155,5.85,1.13,0.00137,5.17,-9999.99,1121.1,357.56,1.0E-4,3.0E-5,3.2E-4,3.4E-4,6.0E-5,8.0E-5,2.8E-4,3.0E-4,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000099,S218WTS005,UGAB5,WGS84_UTM_33S,32733,2018,Matmon:2018namibia,10.1016/j.geomorph.2018.04.008,Geomorphology_313,Western Namibian escarpment,NA,not applicable,not applicable,CRNST03476a,NA,850,250,43.05,76.37,CRNSM03869,NA,-9999,-9999,-9999,S218,13.6293,-21.1863,300.10113720275444,114,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000135,NA,NA,-9999.99,-9999.99,167152.0,27402.0,183000.0,30000.0,ETH-Zurich,0.9134,17.553,1.0,1.0,ZAL94,0.944,16.605,1675.15,Vance,Alaknanda,1300.0,100.0,23814.0,2463.0,26100.0,2700.0,ETH-Zurich,0.9124,17.553,1.0,1.0,S555,0.944,16.605,IND,INTP_ND,INT,10.4225/48/5a8367feac9b2,1.0,NA,NA,465.97,0.50559,1907.9,378.21,0.48766,1840.23,-9999.99,4858.44,675.16,0.08521,0.007,0.0891,0.12348,0.05099,0.00717,0.08598,0.10023,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000170,S016WTS001,AK95,WGS84_UTM_44N,32644,2003,Vance:2003himalaya,10.1016/S0012-821X(02)01102-0,Earth_Planet_Sc_Lett_206,Upper Ganges,NA,not applicable,not applicable,CRNST00184a,NA,1000,100,555.4,320.01,CRNSM00247,NA,-9999,-9999,-9999,S016,79.831977,30.655866,807.6173884396736,666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,NA,NA,-9999.99,-9999.99,70240.0,10413.0,76900.0,11400.0,ETH-Zurich,0.9134,16.528,1.0,1.0,ZAL94,0.938,15.556,4638.68,Vance,Alaknanda,2400.0,300.0,10401.0,1186.0,11400.0,1300.0,ETH-Zurich,0.9124,16.528,1.0,1.0,S555,0.938,15.556,CHN,INTP_ND,INT,10.4225/48/5a8367feac9b2,1.0,NA,NA,992.56,1.12885,4259.81,835.64,1.0472,3951.69,-9999.99,4646.28,966.8,0.17114,0.01663,0.19904,0.26303,0.121,0.0162,0.18476,0.22144,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000170,S016WTS002,AK82,WGS84_UTM_44N,32644,2003,Vance:2003himalaya,10.1016/S0012-821X(02)01102-0,Earth_Planet_Sc_Lett_206,Upper Ganges,NA,not applicable,not applicable,CRNST00185a,NA,1000,100,581.09,340.08,CRNSM00248,NA,-9999,-9999,-9999,S016,79.50335,30.524045,931.7864002807553,314,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,NA,NA,-9999.99,-9999.99,130616.0,25575.0,143000.0,28000.0,ETH-Zurich,0.9134,10.5,1.0,1.0,ZAL94,0.945,9.895,10581.0,Vance,Alaknanda,1700.0,200.0,10401.0,1369.0,11400.0,1500.0,ETH-Zurich,0.9124,10.5,1.0,1.0,S555,0.945,9.895,IND,INTP_ND,INT,10.4225/48/5a8367feac9b2,1.0,NA,NA,399.48,0.39041,1473.25,567.06,0.67216,2536.44,-9999.99,3457.43,1485.48,0.07954,0.00844,0.06935,0.10586,0.09005,0.01487,0.11938,0.15027,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000170,S016WTS003,AK126,WGS84_UTM_44N,32644,2003,Vance:2003himalaya,10.1016/S0012-821X(02)01102-0,Earth_Planet_Sc_Lett_206,Upper Ganges,NA,not applicable,not applicable,CRNST00186a,NA,1000,100,567.03,298.28,CRNSM00249,NA,-9999,-9999,-9999,S016,78.772803,30.229469,1192.5241727144335,262,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be,NA,NA,-9999.99,-9999.99,137923.0,44757.0,151000.0,49000.0,ETH-Zurich,0.9134,11.195,1.0,1.0,ZAL94,0.957,10.666,7640.67,Vance,Bhagirathi,1000.0,100.0,17883.0,2007.0,19600.0,2200.0,ETH-Zurich,0.9124,11.195,1.0,1.0,S555,0.957,10.666,IND,INTP_ND,INT,10.4225/48/5a8367feac9b2,1.0,NA,NA,606.86,0.39763,1500.49,336.01,0.4206,1587.18,-9999.99,3501.13,1585.01,0.1443,0.00803,0.07053,0.16082,0.04782,0.0087,0.07461,0.08904,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000170,S016WTS004,AK124A,WGS84_UTM_44N,32644,2003,Vance:2003himalaya,10.1016/S0012-821X(02)01102-0,Earth_Planet_Sc_Lett_206,Upper Ganges,NA,not applicable,not applicable,CRNST00187a,NA,1000,100,517.14,250.1,CRNSM00250,NA,-9999,-9999,-9999,S016,78.599332,30.145829,1172.8130070139005,367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,NA,NA,-9999.99,-9999.99,88234.0,14614.0,96600.0,16000.0,ETH-Zurich,0.9134,9.479,1.0,1.0,ZAL94,0.954,8.986,21698.9,Vance,Ganges,900.0,100.0,17427.0,1825.0,19100.0,2000.0,ETH-Zurich,0.9124,9.479,1.0,1.0,S555,0.954,8.986,IND,INTP_ND,INT,10.4225/48/5a8367feac9b2,1.0,NA,NA,491.71,0.52652,1986.88,287.22,0.36517,1378.02,-9999.99,3146.82,1601.28,0.08971,0.01241,0.09369,0.1303,0.03868,0.00868,0.06498,0.07611,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000170,S016WTS005,AK43,WGS84_UTM_44N,32644,2003,Vance:2003himalaya,10.1016/S0012-821X(02)01102-0,Earth_Planet_Sc_Lett_206,Upper Ganges,NA,not applicable,not applicable,CRNST00188a,NA,1000,100,528.43,268.66,CRNSM00251,NA,-9999,-9999,-9999,S016,78.312965,30.121849,1258.7259380391927,133,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000746,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Yangtse,-9999.99,-9999.99,251451.0,13038.0,270000.0,14000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS001,Cha-1,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00437a,NA,0,0,-9999.99,-9999.99,CRNSM00515,NA,-9999,-9999,-9999,S028,121.095505,31.78868,994.3448266984409,4441,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000747,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Yangtse,-9999.99,-9999.99,111756.0,8382.0,120000.0,9000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS002,Cha-2,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00438a,NA,0,0,-9999.99,-9999.99,CRNSM00516,NA,-9999,-9999,-9999,S028,116.307846,29.805458,982.4101569999781,4442,"{""type"":""MultiPoint"",""coordinates"":[]}"
